timestamp,city,temperature,humidity,pressure,rainfall,alert_level
2026-06-03 00:35:25,Beijing,28.8,66.2,1014.8,5.09,GREEN
2026-06-03 00:35:36,Beijing,29.1,77.0,1008.5,0.32,GREEN
2026-06-03 00:35:37,Beijing,30.1,62.8,1006.6,4.13,GREEN
2026-06-03 00:35:38,Beijing,20.6,54.6,1002.5,6.91,GREEN
2026-06-03 00:35:39,Beijing,20.2,44.7,1004.1,0.02,GREEN
2026-06-03 00:35:41,Beijing,22.4,59.3,1001.9,0,GREEN
2026-06-03 00:35:42,Beijing,21.7,95.2,1001.5,13.79,YELLOW
2026-06-03 00:35:43,Beijing,25.0,55.1,999.9,8.2,GREEN
2026-06-03 00:35:44,Beijing,21.2,84.8,1016.9,10.97,YELLOW
2026-06-03 00:35:45,Beijing,34.0,73.4,1014.6,3.1,GREEN
2026-06-03 00:35:46,Beijing,21.1,59.0,1017.1,4.97,GREEN
2026-06-03 00:35:47,Beijing,28.8,41.2,1003.4,3.23,GREEN
2026-06-03 00:35:48,Beijing,31.7,67.0,1019.6,1.06,GREEN
2026-06-03 00:35:50,Beijing,22.0,95.4,1001.3,13.22,YELLOW
2026-06-03 00:35:51,Beijing,27.2,61.8,1022.6,6.65,GREEN
2026-06-03 00:35:52,Beijing,33.2,42.5,1019.7,0,GREEN
2026-06-03 00:35:53,Beijing,17.9,62.7,1004.8,4.16,GREEN
2026-06-03 00:35:54,Beijing,28.5,73.6,1005.3,11.4,YELLOW
2026-06-03 00:35:55,Beijing,15.7,64.5,1017.2,1.67,GREEN
2026-06-03 00:35:56,Beijing,24.4,67.9,1007.4,0,GREEN
2026-06-03 00:35:57,Beijing,28.8,89.7,1018.2,0.17,GREEN
2026-06-03 00:35:58,Beijing,31.0,42.5,1015.0,7.47,GREEN
2026-06-03 00:35:59,Beijing,28.5,45.5,1016.8,11.78,YELLOW
2026-06-03 00:36:00,Beijing,33.1,56.8,1009.1,5.7,GREEN
2026-06-03 00:36:02,Beijing,28.5,67.6,1011.4,2.18,GREEN
2026-06-03 00:36:03,Beijing,31.0,55.0,1024.3,0,GREEN
2026-06-03 00:36:04,Beijing,22.3,40.2,1008.2,0.54,GREEN
2026-06-03 00:36:05,Beijing,31.2,93.5,1019.2,1.02,GREEN
2026-06-03 00:36:06,Beijing,31.5,86.2,1019.0,0.66,GREEN
2026-06-03 00:36:07,Beijing,19.0,63.1,1003.7,3.26,GREEN
2026-06-03 00:36:08,Beijing,14.7,68.1,1003.6,9.78,GREEN
2026-06-03 00:36:09,Beijing,17.1,70.6,1009.7,4.35,GREEN
2026-06-03 00:36:10,Beijing,27.2,74.6,1012.4,3.45,GREEN
2026-06-03 00:36:11,Beijing,23.5,83.7,1017.2,0,GREEN
2026-06-03 00:36:12,Beijing,23.1,63.8,1016.0,0,GREEN
2026-06-03 00:36:13,Beijing,22.1,86.6,1017.9,0.96,GREEN
2026-06-03 00:36:14,Beijing,28.9,75.3,1013.3,9.35,GREEN
2026-06-03 00:36:15,Beijing,34.0,42.0,1004.7,2.16,GREEN
2026-06-03 00:36:16,Beijing,15.5,64.8,1020.1,3.5,GREEN
2026-06-03 00:36:17,Beijing,30.4,62.2,1014.9,49.0,RED
2026-06-03 00:36:18,Beijing,19.3,50.9,1007.2,1.49,GREEN
2026-06-03 00:36:19,Beijing,25.7,86.8,1016.8,0,GREEN
2026-06-03 00:36:20,Beijing,17.4,76.7,1024.6,3.26,GREEN
2026-06-03 00:36:21,Beijing,23.2,46.3,1019.7,1.93,GREEN
2026-06-03 00:36:22,Beijing,34.4,48.4,1000.3,3.48,GREEN
2026-06-03 00:36:23,Beijing,22.8,45.5,1025.3,1.2,GREEN
2026-06-03 00:36:24,Beijing,26.5,87.6,999.6,3.82,GREEN
2026-06-03 00:36:26,Beijing,16.4,42.2,1012.8,0,GREEN
2026-06-03 00:36:27,Beijing,17.9,47.5,1014.0,0,GREEN
2026-06-03 00:36:28,Beijing,33.3,46.0,1022.3,0,GREEN
2026-06-03 00:36:29,Beijing,28.8,40.5,1010.2,3.39,GREEN
2026-06-03 00:36:30,Beijing,26.8,78.4,1018.9,2.3,GREEN
2026-06-03 00:36:31,Beijing,31.7,75.7,1017.4,1.83,GREEN
2026-06-03 00:36:32,Beijing,15.2,84.9,1023.1,4.64,GREEN
2026-06-03 00:36:33,Beijing,19.7,62.7,1024.3,0,GREEN
2026-06-03 00:36:34,Beijing,16.3,57.7,1017.9,15.57,YELLOW
2026-06-03 00:36:35,Beijing,17.0,85.7,1004.8,2.12,GREEN
2026-06-03 00:36:36,Beijing,19.2,45.2,1000.8,4.05,GREEN
2026-06-03 00:36:38,Beijing,21.6,71.0,1019.1,1.51,GREEN
2026-06-03 00:36:39,Beijing,34.3,62.8,1024.1,6.13,GREEN
2026-06-03 00:36:40,Beijing,19.8,84.3,1002.4,5.57,GREEN
2026-06-03 00:36:41,Beijing,28.0,82.6,1007.0,0.05,GREEN
2026-06-03 00:36:42,Beijing,34.1,53.1,1000.6,0,GREEN
2026-06-03 00:36:43,Beijing,27.1,78.8,1010.2,0,GREEN
2026-06-03 00:36:44,Beijing,25.4,65.7,1005.4,8.46,GREEN
2026-06-03 00:36:46,Beijing,15.3,63.7,1001.9,0,GREEN
2026-06-03 00:36:47,Beijing,19.1,85.7,1011.4,3.1,GREEN
2026-06-03 00:36:48,Beijing,17.7,93.7,1002.1,1.68,GREEN
2026-06-03 00:36:49,Beijing,21.0,57.9,1012.1,7.96,GREEN
2026-06-03 00:36:50,Beijing,18.4,78.7,1018.5,0.12,GREEN
2026-06-03 00:36:51,Beijing,35.3,61.3,1012.1,11.88,YELLOW
2026-06-03 00:36:53,Beijing,17.9,47.5,1019.3,0.37,GREEN
2026-06-03 00:36:54,Beijing,23.6,63.8,1006.9,13.72,YELLOW
2026-06-03 00:36:55,Beijing,31.3,85.4,1005.2,6.86,GREEN
2026-06-03 00:36:56,Beijing,23.9,82.3,1009.4,0,GREEN
2026-06-03 00:36:57,Beijing,25.5,86.5,1005.2,0,GREEN
